Date,Open,High,Low,Close,Adj Close,Volume
2015-09-04,23.289978,23.379229,22.549196,22.696461,21.823729,9443703
2015-09-07,22.941900,23.084702,22.683073,22.776787,21.900965,3496900
2015-09-08,23.040075,23.722843,22.973139,23.419392,22.518864,7650539
2015-09-09,24.017370,24.124472,23.446167,23.446167,22.544607,7016004
2015-09-10,23.249815,23.495255,22.906200,23.089165,22.201334,6556090
2015-09-11,23.138252,23.138252,22.763397,22.879423,21.999657,4877778
2015-09-14,22.852650,23.187340,22.638447,22.990988,22.106930,6339081
2015-09-15,23.062387,23.517567,22.852650,23.365841,22.467369,6090532
2015-09-16,23.513105,23.584505,23.062387,23.196264,22.304314,8697433
2015-09-17,23.383692,23.691607,23.276590,23.526491,22.621841,7879572
2015-09-18,23.223040,23.236427,22.276981,22.482260,21.617764,20250710
2015-09-21,22.384083,22.901737,22.312681,22.714312,21.840895,5441870
2015-09-22,22.799099,23.004375,21.977991,22.027081,21.180086,10356417
2015-09-23,21.955679,22.294832,21.857504,21.857504,21.017033,5826542
2015-09-24,21.857504,22.027081,21.420176,21.580826,20.750994,9133749
2015-09-25,21.928904,22.160955,21.826265,22.022617,21.175797,6575132
2015-09-28,21.875355,22.022617,20.960533,20.991772,20.184589,9546496
2015-09-29,20.683855,21.116722,20.483042,20.982845,20.176004,9320581
2015-09-30,21.433563,21.701315,21.344313,21.482651,20.656593,6981837
2015-10-01,21.875355,21.875355,20.987309,21.107798,20.296154,7535775
2015-10-02,21.259523,21.754866,21.036398,21.241674,20.424883,9481657
2015-10-05,21.870892,22.446558,21.772715,22.348383,21.489035,9471523
2015-10-06,22.393007,22.593822,22.080629,22.504572,21.639219,6019988
2015-10-07,22.660761,23.165028,22.540272,22.741085,21.866638,6565078
2015-10-08,22.116331,23.450628,21.919979,22.339458,21.480455,18327021
2015-10-09,22.660761,23.316753,22.504572,23.111477,22.222788,9168396
2015-10-12,23.098089,23.459555,22.808023,22.973139,22.089767,4883356
2015-10-13,22.785711,22.892813,22.321608,22.745548,21.870928,6131095
2015-10-14,22.620598,22.941900,22.415321,22.517960,21.652092,4815742
2015-10-15,22.669685,22.866037,22.544733,22.776787,21.900965,4815325
2015-10-16,23.008839,23.303366,22.955288,23.173952,22.282862,7503734
2015-10-19,23.472942,24.137859,23.472942,24.030760,23.106722,10255630
2015-10-20,24.030760,24.061996,23.486328,23.696070,22.784903,5205951
2015-10-21,23.691607,23.887959,23.289978,23.678219,22.767736,4718344
2015-10-22,23.580044,24.298512,23.464018,24.258348,23.325560,8214933
2015-10-23,24.512712,24.967892,24.289585,24.771540,23.819017,9815438
2015-10-26,24.588575,24.588575,24.155710,24.432386,23.492905,7127795
